Quantidade de Macacos:; 200;Raio dos Alarmes:; 7;Raio de predadores:;8;Quantidade de Aguias:; 15;Quantidade de Cobras:; 13;Quantidade de Tigres:; 17;Quantidade de iteracoes:; 50
s0;s1;s2;s3;s4;s5;s6;s7;s8;s9
00.589709;0.66744;0.171636;0.133549;0.370739;0.354595;0.130619;0.848292;0.494278;0.561663
10.789709;0.96744;0.171636;0.133549;0.470739;0.554595;0.230619;0.948292;0.494278;0.861663
20.789709;1.76744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
30.789709;2.56744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
40.789709;3.16744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
50.789709;3.86744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
60.789709;4.46744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
70.789709;5.16744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
80.789709;5.96744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
90.789709;6.36744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
100.789709;6.76744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
110.789709;7.16744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
120.789709;7.46744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
130.789709;7.86744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
140.789709;8.36744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
150.789709;9.06744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
160.789709;9.56744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
170.789709;9.96744;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
180.789709;10.3674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
190.789709;10.7674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
200.789709;11.1674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
210.789709;11.6674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
220.789709;12.2674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
230.789709;12.6674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
240.789709;12.9674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
250.789709;13.4674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
260.789709;13.7674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
270.789709;13.9674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
280.789709;14.3674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
290.789709;14.7674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
300.789709;15.0674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
310.789709;15.2674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
320.789709;15.4674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
330.789709;15.7674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
340.789709;15.9674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
350.789709;16.1674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
360.789709;16.3674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
370.789709;16.5674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
380.789709;16.9674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
390.789709;17.2674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
400.789709;17.5674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
410.789709;17.9674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
420.789709;18.2674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
430.789709;18.6674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
440.789709;18.7674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
450.789709;19.0674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
460.789709;19.2674;0.171636;0.133549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
470.789709;19.2674;0.171636;0.233549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
480.789709;19.2674;0.171636;0.533549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
490.789709;19.3674;0.171636;0.633549;0.470739;0.654595;0.230619;0.948292;0.494278;0.861663
